"WTMREP05.Code.or.Value","WTMREP05.Value.Description","WTMREP05.Count","WTMREP05.Cumulative","WTMREP05.Skip.to.Item"
"0 to 261039.26428","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
