"AUDTYL77.Code.or.Value","AUDTYL77.Value.Description","AUDTYL77.Count","AUDTYL77.Cumulative","AUDTYL77.Skip.to.Item"
"0 to 0.84","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
