"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"25 to 2923","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
