"RFXC040.Code.or.Value","RFXC040.Value.Description","RFXC040.Count","RFXC040.Cumulative","RFXC040.Skip.to.Item"
"-7.236 to 5.284","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
