"LB2CP.Code.or.Value","LB2CP.Value.Description","LB2CP.Count","LB2CP.Cumulative","LB2CP.Skip.to.Item"
"0.196 to 7.336","Range of Values",205,205,NA
".","Missing",352,557,NA
