"BAXPFC22.Code.or.Value","BAXPFC22.Value.Description","BAXPFC22.Count","BAXPFC22.Cumulative","BAXPFC22.Skip.to.Item"
"1","Pass",80,80,"BAXPFC31"
"2","Dnp(did not pass)",71,151,""
".","Missing",3033,3184,""
