"LBXV06.Code.or.Value","LBXV06.Value.Description","LBXV06.Count","LBXV06.Cumulative","LBXV06.Skip.to.Item"
"0.086 to 26.4","Range of Values",2840,2840,NA
".","Missing",554,3394,NA
