"AUXRR142.Code.or.Value","AUXRR142.Value.Description","AUXRR142.Count","AUXRR142.Cumulative","AUXRR142.Skip.to.Item"
"-34 to 60","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
