"URDDEELC.Code.or.Value","URDDEELC.Value.Description","URDDEELC.Count","URDDEELC.Cumulative","URDDEELC.Skip.to.Item"
"0","At or above detection limit",45,45,NA
"1","Below lower detection limit",2520,2565,NA
".","Missing",129,2694,NA
