"HOD220.Code.or.Value","HOD220.Value.Description","HOD220.Count","HOD220.Cumulative","HOD220.Skip.to.Item"
"1","Yes",176,176,NA
"2","No",866,1042,NA
"7","Refused",0,1042,NA
"9","Don't know",23,1065,NA
".","Missing",8900,9965,NA
