"DS2IVB1.Code.or.Value","DS2IVB1.Value.Description","DS2IVB1.Count","DS2IVB1.Cumulative","DS2IVB1.Skip.to.Item"
"0.05 to 1500","Range of Values",1739,1739,NA
".","Missing",4164,5903,NA
