"HUQ010.Code.or.Value","HUQ010.Value.Description","HUQ010.Count","HUQ010.Cumulative","HUQ010.Skip.to.Item"
"1","Excellent,",2790,2790,NA
"2","Very good,",2513,5303,NA
"3","Good,",3032,8335,NA
"4","Fair, or",1445,9780,NA
"5","Poor?",366,10146,NA
"7","Refused",1,10147,NA
"9","Don't know",2,10149,NA
".","Missing",0,10149,NA
