"RHQ586U.Code.or.Value","RHQ586U.Value.Description","RHQ586U.Count","RHQ586U.Cumulative","RHQ586U.Skip.to.Item"
"1","Months",12,12,NA
"2","Years",30,42,NA
"7","Refused",0,42,NA
"9","Don't know",0,42,NA
".","Missing",3256,3298,NA
