"DXXGYLM.Code.or.Value","DXXGYLM.Value.Description","DXXGYLM.Count","DXXGYLM.Cumulative","DXXGYLM.Skip.to.Item"
"1429.9 to 18544.4","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
