"FSQ440.Code.or.Value","FSQ440.Value.Description","FSQ440.Count","FSQ440.Cumulative","FSQ440.Skip.to.Item"
"1","Yes",56,56,NA
"2","No",801,857,NA
"7","Refused",2,859,NA
"9","Don't know",19,878,NA
".","Missing",10161,11039,NA
