"WHD010.Code.or.Value","WHD010.Value.Description","WHD010.Count","WHD010.Cumulative","WHD010.Skip.to.Item"
"48 to 83","Range of Values",5963,5963,NA
"7777","Refused",2,5965,NA
"9999","Don't know",108,6073,NA
".","Missing",66,6139,NA
