"SXQ836.Code.or.Value","SXQ836.Value.Description","SXQ836.Count","SXQ836.Cumulative","SXQ836.Skip.to.Item"
"0 to 500","Range of Values",104,104,NA
"77777","Refused",0,104,NA
"99999","Don't know",1,105,NA
".","Missing",5197,5302,NA
