"DXXPT36Y.Code.or.Value","DXXPT36Y.Value.Description","DXXPT36Y.Count","DXXPT36Y.Cumulative","DXXPT36Y.Skip.to.Item"
"98.2 to 332.6","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
