"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",905,905,""
"2","No",4666,5571,"DRD370U"
".","Missing",4379,9950,""
