"DXXL2BMC.Code.or.Value","DXXL2BMC.Value.Description","DXXL2BMC.Count","DXXL2BMC.Cumulative","DXXL2BMC.Skip.to.Item"
"3.21 to 41.71","Range of Values",6426,6426,NA
".","Missing",1308,7734,NA
