"RXQ520.Code.or.Value","RXQ520.Value.Description","RXQ520.Count","RXQ520.Cumulative","RXQ520.Skip.to.Item"
"1","Yes",128,128,""
"2","No",2151,2279,"End of Section"
"7","Refused",0,2279,"End of Section"
"9","Don't know",2,2281,"End of Section"
".","Missing",1485,3766,""
