"DXDTOLI.Code.or.Value","DXDTOLI.Value.Description","DXDTOLI.Count","DXDTOLI.Cumulative","DXDTOLI.Skip.to.Item"
"14542.9 to 108410.7","Range of Values",3658,3658,NA
".","Missing",1456,5114,NA
