"DXXNKA.Code.or.Value","DXXNKA.Value.Description","DXXNKA.Count","DXXNKA.Cumulative","DXXNKA.Skip.to.Item"
"3.08 to 7.1","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
