"DXXPT21Y.Code.or.Value","DXXPT21Y.Value.Description","DXXPT21Y.Count","DXXPT21Y.Cumulative","DXXPT21Y.Skip.to.Item"
"178.7 to 419.8","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
