"VTQ200I.Code.or.Value","VTQ200I.Value.Description","VTQ200I.Count","VTQ200I.Cumulative","VTQ200I.Skip.to.Item"
"1","Yes",39,39,NA
"2","No",609,648,NA
"7","Refused",0,648,NA
"9","Don't know",0,648,NA
".","Missing",203,851,NA
