"URDMCPLC.Code.or.Value","URDMCPLC.Value.Description","URDMCPLC.Count","URDMCPLC.Cumulative","URDMCPLC.Skip.to.Item"
"0","At or above the detection limit",281,281,NA
"1","Below lower detection limit",2324,2605,NA
".","Missing",92,2697,NA
