"LBXLYPCT.Code.or.Value","LBXLYPCT.Value.Description","LBXLYPCT.Count","LBXLYPCT.Cumulative","LBXLYPCT.Skip.to.Item"
"5 to 89.7","Range of Values",8353,8353,NA
".","Missing",826,9179,NA
