"URXMHNC.Code.or.Value","URXMHNC.Value.Description","URXMHNC.Count","URXMHNC.Cumulative","URXMHNC.Skip.to.Item"
"0.28 to 1051.9","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
