"DR1TRET.Code.or.Value","DR1TRET.Value.Description","DR1TRET.Count","DR1TRET.Cumulative","DR1TRET.Skip.to.Item"
"0 to 12335","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
