"BAQ120.Code.or.Value","BAQ120.Value.Description","BAQ120.Count","BAQ120.Cumulative","BAQ120.Skip.to.Item"
"1","Yes",10,10,NA
"2","No",2745,2755,NA
".","Missing",429,3184,NA
