"BMXARML.Code.or.Value","BMXARML.Value.Description","BMXARML.Count","BMXARML.Cumulative","BMXARML.Skip.to.Item"
"9 to 48","Range of Values",9190,9190,NA
".","Missing",453,9643,NA
