"MCQ160e.Code.or.Value","MCQ160e.Value.Description","MCQ160e.Count","MCQ160e.Cumulative","MCQ160e.Skip.to.Item"
"1","Yes",230,230,NA
"2","No",5536,5766,NA
"7","Refused",0,5766,NA
"9","Don't know",3,5769,NA
".","Missing",4001,9770,NA
