"LBDSTRSI.Code.or.Value","LBDSTRSI.Value.Description","LBDSTRSI.Count","LBDSTRSI.Cumulative","LBDSTRSI.Skip.to.Item"
"0.147 to 34.559","Range of Values",6254,6254,NA
".","Missing",490,6744,NA
