"LBXBCD.Code.or.Value","LBXBCD.Value.Description","LBXBCD.Count","LBXBCD.Cumulative","LBXBCD.Skip.to.Item"
"0.19 to 10.8","Range of Values",4715,4715,NA
"0.14","Below Detection Limit Fill Value",3692,8407,NA
".","Missing",1033,9440,NA
