"SSTTGV.Code.or.Value","SSTTGV.Value.Description","SSTTGV.Count","SSTTGV.Cumulative","SSTTGV.Skip.to.Item"
"0.42 to 98.2","Range of Values",2032,2032,NA
".","Missing",9,2041,NA
