"KIQ180.Code.or.Value","KIQ180.Value.Description","KIQ180.Count","KIQ180.Cumulative","KIQ180.Skip.to.Item"
"1","Yes",48,48,""
"2","No",92,140,"KIQ220"
"7","Refused",0,140,""
"9","Don't know",3,143,""
".","Missing",4737,4880,""
