"DR2ILZ.Code.or.Value","DR2ILZ.Value.Description","DR2ILZ.Count","DR2ILZ.Cumulative","DR2ILZ.Skip.to.Item"
"0 to 40599","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
