"CIQP62.Code.or.Value","CIQP62.Value.Description","CIQP62.Count","CIQP62.Cumulative","CIQP62.Skip.to.Item"
"0 to 28","Range of Values",16,16,NA
"77","Refused",0,16,NA
"99","Don't know",0,16,NA
".","Missing",912,928,NA
