"LBXVTHF.Code.or.Value","LBXVTHF.Value.Description","LBXVTHF.Count","LBXVTHF.Cumulative","LBXVTHF.Skip.to.Item"
"0.088 to 1.22","Range of Values",2979,2979,NA
".","Missing",415,3394,NA
