"LBDBCDLC.Code.or.Value","LBDBCDLC.Value.Description","LBDBCDLC.Count","LBDBCDLC.Cumulative","LBDBCDLC.Skip.to.Item"
"0","At or above the detection limit",6117,6117,NA
"1","Below lower detection limit",1396,7513,NA
".","Missing",853,8366,NA
