"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"T10","T10",3302,3302,NA
"< blank >","Missing",406,3708,NA
