"MPQ120k.Code.or.Value","MPQ120k.Value.Description","MPQ120k.Count","MPQ120k.Cumulative","MPQ120k.Skip.to.Item"
"20","Upper back - right",89,89,NA
".","Missing",4791,4880,NA
