"DIQ170.Code.or.Value","DIQ170.Value.Description","DIQ170.Count","DIQ170.Cumulative","DIQ170.Skip.to.Item"
"1","Yes",772,772,NA
"2","No",5335,6107,NA
"7","Refused",1,6108,NA
"9","Don't know",16,6124,NA
".","Missing",3240,9364,NA
