"DUQ260.Code.or.Value","DUQ260.Value.Description","DUQ260.Count","DUQ260.Cumulative","DUQ260.Skip.to.Item"
"0 to 50","Range of Values",685,685,NA
"777","Refused",0,685,NA
"999","Don't know",0,685,NA
".","Missing",4617,5302,NA
