"WTSPH06.Code.or.Value","WTSPH06.Value.Description","WTSPH06.Count","WTSPH06.Cumulative","WTSPH06.Skip.to.Item"
"0.0000000 to 803223.9563400","Range of Values",0,0,NA
"0","0",2648,2648,NA
".","Missing",0,2648,NA
