"AUDTYR53.Code.or.Value","AUDTYR53.Value.Description","AUDTYR53.Count","AUDTYR53.Cumulative","AUDTYR53.Skip.to.Item"
"0 to 3.84","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
