"AUXU4KR.Code.or.Value","AUXU4KR.Value.Description","AUXU4KR.Count","AUXU4KR.Cumulative","AUXU4KR.Skip.to.Item"
"-10 to 120","Range of Values",4299,4299,NA
"666","No response",0,4299,NA
"888","Could not obtain",27,4326,NA
".","Missing",256,4582,NA
