"URX2DC.Code.or.Value","URX2DC.Value.Description","URX2DC.Count","URX2DC.Cumulative","URX2DC.Skip.to.Item"
"3.32 to 19.4","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
