"CIQG06.Code.or.Value","CIQG06.Value.Description","CIQG06.Count","CIQG06.Cumulative","CIQG06.Skip.to.Item"
"1","Yes",29,29,""
"2","No",550,579,"CIDGSCOR"
"7","Refused",0,579,"CIDGSCOR"
"9","Don't know",1,580,"CIDGSCOR"
".","Missing",198,778,""
