"ARQ010.Code.or.Value","ARQ010.Value.Description","ARQ010.Count","ARQ010.Cumulative","ARQ010.Skip.to.Item"
"1","Yes",1508,1508,""
"2","No",3595,5103,"ARQ110"
"7","Refused",0,5103,"ARQ110"
"9","Don't know",3,5106,"ARQ110"
".","Missing",0,5106,""
