"PHQ060.Code.or.Value","PHQ060.Value.Description","PHQ060.Count","PHQ060.Cumulative","PHQ060.Skip.to.Item"
"1","Yes",16,16,NA
"2","No",8816,8832,NA
".","Missing",475,9307,NA
