"SPXNFVC.Code.or.Value","SPXNFVC.Value.Description","SPXNFVC.Count","SPXNFVC.Cumulative","SPXNFVC.Skip.to.Item"
"826 to 9361","Range of Values",7079,7079,NA
".","Missing",1116,8195,NA
