"HUQ090.Code.or.Value","HUQ090.Value.Description","HUQ090.Count","HUQ090.Cumulative","HUQ090.Skip.to.Item"
"1","Yes",663,663,NA
"2","No",7921,8584,NA
"7","Refused",2,8586,NA
"9","Don't know",1,8587,NA
".","Missing",1169,9756,NA
