"SSDBZPL.Code.or.Value","SSDBZPL.Value.Description","SSDBZPL.Count","SSDBZPL.Cumulative","SSDBZPL.Skip.to.Item"
"0","At or above the detection limit",6,6,NA
"1","Below lower detection limit",2048,2054,NA
".","Missing",0,2054,NA
