"DBD055.Code.or.Value","DBD055.Value.Description","DBD055.Count","DBD055.Cumulative","DBD055.Skip.to.Item"
"1 to 2190","Range of Values",1684,1684,NA
"0","Never",139,1823,NA
"777777","Refused",0,1823,NA
"999999","Don't know",21,1844,NA
".","Missing",7912,9756,NA
