"DXXANLM.Code.or.Value","DXXANLM.Value.Description","DXXANLM.Count","DXXANLM.Cumulative","DXXANLM.Skip.to.Item"
"784.5 to 8182.4","Range of Values",5589,5589,NA
".","Missing",1304,6893,NA
