"URDFRMLC.Code.or.Value","URDFRMLC.Value.Description","URDFRMLC.Count","URDFRMLC.Cumulative","URDFRMLC.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",2255,2255,NA
".","Missing",357,2612,NA
