"URDTNE7.Code.or.Value","URDTNE7.Value.Description","URDTNE7.Count","URDTNE7.Cumulative","URDTNE7.Skip.to.Item"
"0.3008 to 449.7","Range of Values",553,553,NA
".","Missing",2726,3279,NA
