"AUXU3KL.Code.or.Value","AUXU3KL.Value.Description","AUXU3KL.Count","AUXU3KL.Cumulative","AUXU3KL.Skip.to.Item"
"-10 to 120","Range of Values",2180,2180,NA
"666","No response",6,2186,NA
"888","Could not obtain",16,2202,NA
".","Missing",166,2368,NA
