"DRXTM181.Code.or.Value","DRXTM181.Value.Description","DRXTM181.Count","DRXTM181.Cumulative","DRXTM181.Skip.to.Item"
"0 to 160.73","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
