"AUXLR242.Code.or.Value","AUXLR242.Value.Description","AUXLR242.Count","AUXLR242.Cumulative","AUXLR242.Skip.to.Item"
"-17 to 51","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
