"PAQ635.Code.or.Value","PAQ635.Value.Description","PAQ635.Count","PAQ635.Cumulative","PAQ635.Skip.to.Item"
"1","Yes",2344,2344,""
"2","No",4434,6778,"PAQ650"
"7","Refused",1,6779,"PAQ650"
"9","Don't know",0,6779,"PAQ650"
".","Missing",2328,9107,""
