"OPDDHEM.Code.or.Value","OPDDHEM.Value.Description","OPDDHEM.Count","OPDDHEM.Cumulative","OPDDHEM.Skip.to.Item"
"0","No",2181,2181,NA
"1","Yes",45,2226,NA
".","Missing",708,2934,NA
