"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"9.6 to 59.4","Range of Values",9281,9281,NA
".","Missing",481,9762,NA
